TrueY,PredY
1,0.6650206
0,0.024668148
1,0.581539
0,0.0058207484
1,0.49683732
1,0.10984705
1,0.40213886
1,0.71620536
0,0.030616393
0,0.036276337
0,0.0239221
1,0.61407477
1,0.561847
0,0.01442826
0,0.06970315
0,0.097740084
0,0.08103352
0,0.22201939
1,0.66616714
1,0.16345492
0,0.13438228
1,0.04334879
0,0.060801685
1,0.7322001
0,0.12121396
0,0.06059102
1,0.1934821
0,0.31487575
1,0.9022231
0,0.02864336
0,0.11876325
1,0.741686
1,0.4415753
0,0.14053378
0,0.03170366
1,0.83122265
0,0.3207422
0,0.05483194
1,0.56872886
1,0.61458725
1,0.73305273
0,0.008925438
0,0.068520665
0,0.08246247
0,0.16489436
0,0.03571601
1,0.70526963
1,0.76194984
1,0.30658108
1,0.6430861
1,0.4521924
1,0.42897695
0,0.07540539
0,0.04690694
0,0.028537434
0,0.05600711
1,0.5028227
0,0.09645508
1,0.52507913
1,0.45983297
1,0.40515023
0,0.15040576
0,0.113844156
0,0.07243626
0,0.018129509
0,0.064176425
0,0.045881346
1,0.6212873
1,0.7163903
0,0.011734603
1,0.5500264
1,0.4530027
1,0.76293945
0,0.0707435
0,0.24958098
0,0.18378738
0,0.047911327
0,0.05857284
0,0.0121751595
1,0.5441239
0,0.1969453
1,0.7443611
0,0.16722424
1,0.7756027
0,0.08546452
0,0.1565833
0,0.098293215
0,0.062411822
0,0.05033961
1,0.28445125
0,0.05734483
0,0.029405404
0,0.058212124
1,0.38740784
1,0.805116
0,0.11056509
0,0.02414127
0,0.041998412
0,0.018492209
1,0.9389943
0,0.13761432
0,0.056725193
0,0.2871893
1,0.7911445
1,0.8978732
1,0.5295526
1,0.47154388
0,0.14211471
1,0.4729848
1,0.5657456
0,0.051936377
1,0.7547182
0,0.123047546
1,0.62488836
0,0.07618238
1,0.46666035
0,0.13063887
1,0.67104125
1,0.61571455
1,0.840419
0,0.042540222
0,0.037565816
1,0.79345316
0,0.01735122
0,0.041918237
1,0.70843863
1,0.08767522
0,0.0388974
1,0.6681472
0,0.2794232
1,0.5304936
1,0.6118609
1,0.64275485
0,0.087866254
0,0.06393931
1,0.45177656
1,0.57949626
0,0.28578746
1,0.70036685
1,0.45564118
0,0.038763706
0,0.05772377
1,0.6084112
1,0.26382032
1,0.66829515
0,0.59251326
1,0.8354788
0,0.046562243
0,0.016188614
1,0.7244035
1,0.7304368
0,0.03815676
0,0.11509986
1,0.63332635
0,0.030142998
1,0.5556367
1,0.773417
1,0.7612052
1,0.78342354
1,0.76981974
0,0.1034477
1,0.6179433
0,0.048642322
1,0.6699847
0,0.075180575
0,0.034473557
1,0.18808708
0,0.18449184
0,0.023059465
1,0.43600106
0,0.05219537
0,0.1322711
0,0.030413026
1,0.8101944
0,0.025654238
0,0.61446553
0,0.08059582
1,0.9057865
0,0.05753983
0,0.06342131
0,0.074467696
1,0.60952485
1,0.42451826
1,0.13882649
0,0.12560084
1,0.7756636
0,0.068168946
0,0.034251425
0,0.08915704
1,0.24440758
0,0.15479116
0,0.0910192
1,0.67211264
1,0.37345257
0,0.053681202
1,0.7782512
1,0.5723243
1,0.76266634
0,0.09865586
0,0.40026546
0,0.039246045
0,0.022410914
1,0.5314212
1,0.8670616
1,0.37502
1,0.40981716
0,0.050515313
1,0.35449517
0,0.07491414
1,0.48856744
0,0.06096246
1,0.106201485
0,0.04021167
1,0.7962676
0,0.04540894
0,0.058378242
1,0.57572275
0,0.038640983
0,0.056057535
0,0.1237968
0,0.08909227
0,0.03874989
0,0.11290059
0,0.015413145
0,0.049751066
0,0.03541775
1,0.73829925
0,0.13020588
1,0.70072764
0,0.08953941
1,0.85632086
1,0.19645514
0,0.30804643
0,0.0903066
1,0.49563724
0,0.017009858
1,0.72187996
1,0.6939832
1,0.37621933
0,0.30824313
1,0.7910856
1,0.8476738
1,0.6708681
1,0.47203404
0,0.05512336
0,0.09439857
1,0.5615698
0,0.04666346
1,0.81523
0,0.08185769
1,0.89344233
0,0.1274146
1,0.46204144
1,0.5345551
0,0.1326959
0,0.046123825
0,0.009277841
0,0.024253758
1,0.4204963
1,0.8011365
1,0.6107245
0,0.04350067
1,0.7945984
0,0.050773185
1,0.70659614
0,0.09981827
1,0.792907
0,0.019049034
1,0.7424829
1,0.7002783
0,0.19361147
0,0.07708221
0,0.20108803
1,0.76185226
0,0.12238798
0,0.12467402
0,0.03861262
1,0.78462076
1,0.7239814
1,0.68446416
0,0.059889596
1,0.62601626
0,0.19486858
0,0.13189887
0,0.067706846
1,0.75285786
1,0.81544715
0,0.053222697
1,0.4896675
1,0.39653105
0,0.044400893
1,0.4996894
1,0.7193912
0,0.5658339
1,0.7616156
0,0.019674128
1,0.7786516
1,0.7766557
1,0.54549485
0,0.045170072
1,0.82904494
0,0.20156011
0,0.059937954
1,0.51079905
1,0.8120068
0,0.028265378
1,0.7008625
1,0.49740314
1,0.76398087
0,0.051797606
0,0.11220926
1,0.6199342
0,0.3637843
0,0.046353955
0,0.043962464
0,0.08682309
0,0.061100654
0,0.071379334
1,0.7604736
0,0.049472965
0,0.14452554
1,0.6528588
0,0.05691389
0,0.5691195
0,0.041624814
1,0.7724005
1,0.6830019
1,0.5956867
0,0.09147835
1,0.7672649
1,0.7571406
0,0.104059
1,0.7135552
1,0.8808878
1,0.54475135
1,0.21827798
1,0.38479233
0,0.071986035
1,0.1822383
1,0.6574873
0,0.13384385
1,0.821819
0,0.05845632
0,0.035455674
0,0.020848636
0,0.0090590445
1,0.7261146
1,0.63436854
0,0.07791327
1,0.5583026
0,0.20978478
0,0.095909216
0,0.54067904
0,0.14379446
1,0.80514115
0,0.042774715
0,0.034033
1,0.18136136
1,0.66413105
1,0.036305454
1,0.5191992
1,0.7057642
0,0.025494307
1,0.5988964
1,0.6346227
0,0.04257033
0,0.092613496
1,0.5419119
1,0.70521814
1,0.68805087
0,0.04532937
1,0.74767905
1,0.09922439
0,0.024240773
1,0.098956436
1,0.51012313
0,0.09957136
1,0.3469726
0,0.024499264
0,0.044319477
1,0.6189495
1,0.69586957
1,0.042868957
0,0.28879446
0,0.05720648
0,0.27130115
1,0.4187581
0,0.02669093
0,0.034215182
1,0.42866173
1,0.8003744
1,0.25126904
1,0.90219223
1,0.026200335
0,0.14743695
1,0.5811585
1,0.47362217
1,0.7853941
1,0.7676954
1,0.8200261
0,0.38831487
1,0.73262656
0,0.08133902
0,0.08156521
1,0.6035491
1,0.32002124
1,0.8821009
1,0.8166071
0,0.3800365
0,0.074023105
0,0.08026047
0,0.015610983
1,0.79236805
1,0.27201924
1,0.49726528
0,0.23989674
0,0.108452484
0,0.060917098
1,0.79433864
1,0.7606228
1,0.61633766
1,0.8377644
1,0.35188636
1,0.6347118
0,0.05580919
0,0.024939317
1,0.8294444
1,0.815673
0,0.0038343228
1,0.8431258
0,0.024633642
1,0.5583145
1,0.7942022
1,0.6246503
0,0.04966219
1,0.63429296
1,0.6265894
1,0.55350715
0,0.046926625
1,0.22330424
0,0.027105873
0,0.010472405
0,0.28342074
0,0.039564632
0,0.09543099
0,0.06306561
0,0.07006027
0,0.11424647
1,0.5964459
1,0.06236865
1,0.191695
0,0.02888358
1,0.654297
0,0.078314185
0,0.07589726
1,0.14504375
1,0.058022916
0,0.12352904
0,0.060829528
0,0.06753225
0,0.08490886
0,0.06928383
0,0.04759645
0,0.0717211
0,0.11665829
0,0.4285802
1,0.6472081
1,0.8398452
1,0.57306147
1,0.7328308
1,0.3471763
1,0.19632207
0,0.032141544
1,0.8209156
1,0.6462234
1,0.618439
0,0.03797183
1,0.2965722
0,0.026605975
0,0.022163786
0,0.13165642
1,0.7058238
1,0.773644
1,0.7851397
1,0.50971264
0,0.046010457
0,0.13475496
0,0.054813366
0,0.057947855
0,0.02186154
0,0.038130235
0,0.10595973
1,0.74628747
1,0.074809246
0,0.17738268
0,0.051983375
1,0.60898536
1,0.7887395
0,0.18405984
1,0.74623907
1,0.40990028
0,0.055828918
0,0.044921502
1,0.06661018
1,0.8056982
0,0.54027206
0,0.075173154
1,0.51496816
