TrueY,PredY
0,0.11100136
0,0.028716728
1,0.9924773
0,0.01918805
1,0.98830616
1,0.9985981
1,0.9902161
1,0.10580629
1,0.18955836
1,0.77544737
1,0.99980724
1,0.99941
0,0.061991267
0,0.2728354
0,0.007268229
0,0.016143778
1,0.028941488
1,0.9982756
0,0.006796251
0,0.0020099413
1,0.99917364
0,0.009621904
0,0.062841386
0,0.26428515
1,0.9718356
0,0.008939505
0,0.014613983
0,0.004933538
0,0.25856948
1,0.99993
0,0.8314209
1,0.99969596
0,0.045822877
1,0.9997514
1,0.9246172
0,0.06848402
1,0.9981493
0,0.059780847
1,0.99222136
0,0.5690992
1,0.77456397
0,0.015057206
1,0.9968604
0,0.056228258
0,0.027306845
0,0.037898574
0,0.05372394
0,0.3204124
0,0.003603839
1,0.9994114
0,0.008587482
1,0.0506948
1,0.82223475
0,0.9585492
0,0.28733456
0,0.00267751
1,0.7626106
1,0.9997897
0,0.7047551
0,0.06576851
0,0.09326019
1,0.889915
0,0.0039876634
0,0.66517586
0,0.016317947
0,0.0030391868
0,0.27650887
1,0.98011434
0,0.011766104
1,0.9984108
0,0.050159693
1,0.98791397
1,0.99925375
0,0.0015428186
1,0.99895513
0,0.022784812
0,0.011183048
1,0.13105325
0,0.96069586
1,0.03837515
1,0.9994891
0,0.002437044
0,0.00081930694
0,0.7464476
1,0.99441016
1,0.32324153
0,0.01606232
0,0.21836147
1,0.99987996
1,0.9989378
0,0.00604857
1,0.020525062
0,0.01628115
1,0.9963291
0,0.1283943
0,0.0039933743
1,0.8460606
0,0.5631738
0,0.035171434
1,0.9919017
1,0.9884571
0,0.002007854
1,0.7717632
0,0.018210834
0,0.13579057
0,0.37624297
0,0.009279427
1,0.27354038
1,0.0036185656
0,0.02306408
0,0.2655068
0,0.0030162265
0,0.018677734
1,0.9671221
0,0.0136584295
1,0.9995781
1,0.99968445
0,0.26786417
0,0.027413135
1,0.5082265
1,0.9983033
0,0.20186949
0,0.07123734
1,0.99463767
0,0.010691571
0,0.06852946
1,0.99975127
1,0.97781956
0,0.0039175833
1,0.8960554
1,0.9976037
0,0.4641698
1,0.56514436
1,0.9984288
0,0.053393476
1,0.39801788
0,0.8916162
1,0.938527
0,0.036442995
0,0.21290866
0,0.02434573
1,0.9988923
0,0.9631421
0,0.26441008
1,0.89353496
0,0.029729128
0,0.10176834
1,0.39355123
0,0.039328583
0,0.051224105
1,0.9980855
1,0.81487006
0,0.030029405
0,0.011616022
0,0.038284108
1,0.038624134
0,0.011906351
1,0.9992992
1,0.9962349
0,0.0007346923
0,0.05129674
1,0.9285631
1,0.9993335
0,0.0010742944
0,0.0033122208
0,0.0039779483
0,0.019735899
1,0.16130987
0,0.97831136
1,0.99892884
1,0.964571
0,0.041998256
0,0.42476583
1,0.5361481
1,0.08204382
1,0.99483454
1,0.004252849
1,0.9989085
0,0.7736193
1,0.9538337
0,0.9430485
0,0.0013976496
1,0.99866533
0,0.50931984
1,0.6785229
1,0.9167839
1,0.9711356
1,0.9997379
0,0.14985323
0,0.15797469
0,0.3108801
1,0.41147894
0,0.0003865923
0,0.12754154
0,0.00365865
0,5.4458746e-05
1,0.031915724
0,0.21914542
1,0.99062157
1,0.033945363
0,0.01918594
0,0.001669902
1,0.7432537
0,0.0011649258
1,0.99091387
0,0.011322607
0,0.120450735
0,0.30128378
0,0.04926032
0,0.0022368282
0,0.03434188
0,0.00031340966
1,0.9999609
0,0.041529246
1,0.9990078
0,0.12680392
0,0.03418246
0,0.031175837
1,0.9954262
1,0.99935114
1,0.39018747
1,0.99632674
0,0.1686844
1,0.99964285
1,0.9950366
1,0.99868745
1,0.84452665
0,0.9753879
0,0.0012177497
0,0.0027926562
0,0.007336563
0,0.002499945
0,0.010332499
1,0.3974449
0,0.45594677
0,0.04232236
